Algorithm,File,Dataset,Avg_AF,Avg_Recall,QPS,Avg_Approx_Time,Avg_Exact_Time,kclusters,nprobe,M,nbits,kproj,probes,w,k,L
IVFPQ,ivfpq_nprobe5.dat,MNIST,2.45857,0.47377,1.40007,0.0231751,0.680094,50.0,5.0,16.0,8.0,,,,,
Hypercube,hypercube_kproj14.dat,MNIST,1.7113,0.00124,2.79375,0.000807456,0.356211,,,10.0,,14.0,2.0,4.0,,
LSH,lsh_k6.dat,MNIST,1.58275,0.00634,3.33473,0.00226256,0.295597,,,,,,,4.0,6.0,5.0
IVFFlat,ivfflat_nprobe5.dat,MNIST,0.509712,0.97309,1.5125,0.0210274,0.516953,50.0,5.0,,,,,,,
Hypercube,hypercube_w4.5.dat,MNIST,1.63429,0.00452,2.13726,0.000980703,0.465992,,,10.0,,14.0,2.0,4.5,,
Hypercube,hypercube_M100.dat,MNIST,1.66389,0.00134,2.11043,0.000795968,0.47208,,,100.0,,14.0,2.0,4.0,,
LSH,lsh_L3.dat,MNIST,1.85274,0.00476,3.21007,0.000313802,0.310764,,,,,,,4.0,4.0,3.0
LSH,lsh_w2.0.dat,MNIST,1.29289,0.08224,3.25238,0.00290528,0.30237,,,,,,,2.0,4.0,5.0
Hypercube,hypercube_M150.dat,MNIST,1.59808,0.00216,1.78692,0.00123326,0.557233,,,150.0,,14.0,2.0,4.0,,
IVFPQ,ivfpq_k128.dat,MNIST,2.45016,0.48215,1.21737,0.0200728,0.797362,128.0,5.0,16.0,8.0,,,,,
LSH,lsh_k4.dat,MNIST,1.40129,0.03906,3.40524,0.00272026,0.28917,,,,,,,4.0,4.0,5.0
Hypercube,hypercube_kproj10.dat,MNIST,1.66122,0.00174,2.77768,0.000876172,0.35788,,,10.0,,10.0,2.0,4.0,,
Hypercube,hypercube_w4.0.dat,MNIST,1.64027,0.00338,2.97276,0.000833104,0.33439,,,10.0,,14.0,2.0,4.0,,
IVFFlat,ivfflat_nprobe10.dat,MNIST,0.509562,0.99379,2.30053,0.0370506,0.35285,50.0,10.0,,,,,,,
LSH,lsh_w1.5.dat,MNIST,1.40129,0.03906,2.7928,0.00352036,0.351974,,,,,,,1.5,4.0,5.0
LSH,lsh_L5.dat,MNIST,1.69269,0.00814,2.69254,0.00106753,0.369474,,,,,,,4.0,4.0,5.0
IVFPQ,ivfpq_k64.dat,MNIST,2.46477,0.46999,0.658554,0.0234317,1.48752,64.0,5.0,16.0,8.0,,,,,
